T_Y,Y_M,Country,Cases
106,2017-8,日本(Japan),388334
106,2017-9,日本(Japan),346733
106,2017-10,日本(Japan),422446
97,2008-1,韓國(Korea),42596
97,2008-2,韓國(Korea),43280
97,2008-3,韓國(Korea),35240
97,2008-4,韓國(Korea),37234
97,2008-5,韓國(Korea),27733
97,2008-6,韓國(Korea),25349
97,2008-7,韓國(Korea),31254
97,2008-8,韓國(Korea),24702
97,2008-9,韓國(Korea),19618
97,2008-10,韓國(Korea),25598
97,2008-11,韓國(Korea),21811
97,2008-12,韓國(Korea),28707
98,2009-1,韓國(Korea),38172
98,2009-2,韓國(Korea),31002
98,2009-3,韓國(Korea),27854
98,2009-4,韓國(Korea),41274
98,2009-5,韓國(Korea),34115
98,2009-6,韓國(Korea),27795
98,2009-7,韓國(Korea),35420
98,2009-8,韓國(Korea),40131
98,2009-9,韓國(Korea),23423
98,2009-10,韓國(Korea),32726
98,2009-11,韓國(Korea),27506
98,2009-12,韓國(Korea),29388
99,2010-1,韓國(Korea),36008
99,2010-2,韓國(Korea),38938
99,2010-3,韓國(Korea),27860
99,2010-4,韓國(Korea),33407
99,2010-5,韓國(Korea),33033
99,2010-6,韓國(Korea),33480
99,2010-7,韓國(Korea),36160
99,2010-8,韓國(Korea),38729
99,2010-9,韓國(Korea),32058
99,2010-10,韓國(Korea),38939
99,2010-11,韓國(Korea),33968
99,2010-12,韓國(Korea),23710
100,2011-1,韓國(Korea),24875
100,2011-2,韓國(Korea),24517
100,2011-3,韓國(Korea),24661
100,2011-4,韓國(Korea),31442
100,2011-5,韓國(Korea),28357
100,2011-6,韓國(Korea),41389
100,2011-7,韓國(Korea),47357
100,2011-8,韓國(Korea),47256
100,2011-9,韓國(Korea),37050
100,2011-10,韓國(Korea),43354
100,2011-11,韓國(Korea),37245
100,2011-12,韓國(Korea),35763
101,2012-1,韓國(Korea),43511
101,2012-2,韓國(Korea),42984
101,2012-3,韓國(Korea),34886
101,2012-4,韓國(Korea),42203
101,2012-5,韓國(Korea),40460
101,2012-6,韓國(Korea),48558
101,2012-7,韓國(Korea),56027
101,2012-8,韓國(Korea),54680
101,2012-9,韓國(Korea),43997
101,2012-10,韓國(Korea),47497
101,2012-11,韓國(Korea),38561
101,2012-12,韓國(Korea),39365
102,2013-1,韓國(Korea),44828
102,2013-2,韓國(Korea),46443
102,2013-3,韓國(Korea),41501
102,2013-4,韓國(Korea),34620
102,2013-5,韓國(Korea),39360
102,2013-6,韓國(Korea),48097
102,2013-7,韓國(Korea),46547
102,2013-8,韓國(Korea),49805
102,2013-9,韓國(Korea),43935
102,2013-10,韓國(Korea),45782
102,2013-11,韓國(Korea),38501
102,2013-12,韓國(Korea),39109
103,2014-1,韓國(Korea),45400
103,2014-2,韓國(Korea),46465
103,2014-3,韓國(Korea),46188
103,2014-4,韓國(Korea),50408
103,2014-5,韓國(Korea),57585
103,2014-6,韓國(Korea),58308
103,2014-7,韓國(Korea),59341
103,2014-8,韓國(Korea),58828
103,2014-9,韓國(Korea),51791
103,2014-10,韓國(Korea),56795
103,2014-11,韓國(Korea),47491
103,2014-12,韓國(Korea),48094
104,2015-1,韓國(Korea),48024
104,2015-2,韓國(Korea),53315
104,2015-3,韓國(Korea),51365
104,2015-4,韓國(Korea),57222
104,2015-5,韓國(Korea),53704
104,2015-6,韓國(Korea),14896
104,2015-7,韓國(Korea),10899
104,2015-8,韓國(Korea),25162
104,2015-9,韓國(Korea),45069
104,2015-10,韓國(Korea),47012
104,2015-11,韓國(Korea),46032
104,2015-12,韓國(Korea),47400
105,2016-1,韓國(Korea),56236
105,2016-2,韓國(Korea),57437
105,2016-3,韓國(Korea),56440
105,2016-4,韓國(Korea),67144
105,2016-5,韓國(Korea),63856
105,2016-6,韓國(Korea),85261
105,2016-7,韓國(Korea),79681
105,2016-8,韓國(Korea),76720
105,2016-9,韓國(Korea),70914
105,2016-10,韓國(Korea),71622
105,2016-11,韓國(Korea),61754
105,2016-12,韓國(Korea),61355
106,2017-1,韓國(Korea),66289
