Y_M,Country,Cases,YMD
2010-2,Nepal,0,2010-02-01
2010-2,Oman,79,2010-02-01
2010-2,Pakistan,6,2010-02-01
2010-2,Philippines,39,2010-02-01
2010-2,Qatar,0,2010-02-01
2010-2,Republic of Korea,193,2010-02-01
2010-2,Singapore,120,2010-02-01
2010-2,Sri Lanka,2,2010-02-01
2010-2,Syrian Arab Republic,0,2010-02-01
2010-2,Thailand,266,2010-02-01
2010-2,Turkey,7,2010-02-01
2010-2,Viet Nam,13,2010-02-01
2010-3,Afghanistan,0,2010-03-01
2010-3,Armenia,0,2010-03-01
2010-3,Azerbaijan,0,2010-03-01
2010-3,Bahrain,0,2010-03-01
2010-3,Bangladesh,21,2010-03-01
2010-3,Bhutan,0,2010-03-01
2010-3,Cambodia,10,2010-03-01
2010-3,China,807,2010-03-01
2010-3,Georgia,1,2010-03-01
2010-3,India,397,2010-03-01
2010-3,Indonesia,5,2010-03-01
2010-3,Iran (Islamic Republic of),5,2010-03-01
2010-3,Iraq,0,2010-03-01
2010-3,Israel,7,2010-03-01
2010-3,Japan,258,2010-03-01
2010-3,Jordan,0,2010-03-01
2010-3,Kazakhstan,0,2010-03-01
2010-3,Kyrgyzstan,0,2010-03-01
2010-3,Lao People's Democratic Republic,0,2010-03-01
2010-3,Malaysia,12,2010-03-01
2010-3,Mongolia,0,2010-03-01
2010-3,Nepal,0,2010-03-01
2010-3,Oman,7,2010-03-01
2010-3,Pakistan,4,2010-03-01
2010-3,Philippines,20,2010-03-01
2010-3,Qatar,0,2010-03-01
2010-3,Republic of Korea,73,2010-03-01
2010-3,Singapore,89,2010-03-01
2010-3,Sri Lanka,1,2010-03-01
2010-3,Syrian Arab Republic,0,2010-03-01
2010-3,Thailand,123,2010-03-01
2010-3,Turkey,0,2010-03-01
2010-3,Viet Nam,7,2010-03-01
2010-4,Afghanistan,0,2010-04-01
2010-4,Armenia,0,2010-04-01
2010-4,Azerbaijan,0,2010-04-01
2010-4,Bahrain,0,2010-04-01
2010-4,Bangladesh,33,2010-04-01
2010-4,Bhutan,0,2010-04-01
2010-4,Cambodia,0,2010-04-01
2010-4,China,174,2010-04-01
2010-4,Georgia,1,2010-04-01
2010-4,India,211,2010-04-01
2010-4,Indonesia,7,2010-04-01
2010-4,Iran (Islamic Republic of),0,2010-04-01
2010-4,Iraq,0,2010-04-01
2010-4,Israel,0,2010-04-01
2010-4,Japan,69,2010-04-01
2010-4,Jordan,0,2010-04-01
2010-4,Kazakhstan,0,2010-04-01
2010-4,Kyrgyzstan,0,2010-04-01
2010-4,Lao People's Democratic Republic,0,2010-04-01
2010-4,Malaysia,34,2010-04-01
2010-4,Mongolia,0,2010-04-01
2010-4,Nepal,0,2010-04-01
2010-4,Oman,14,2010-04-01
2010-4,Pakistan,0,2010-04-01
2010-4,Philippines,11,2010-04-01
2010-4,Qatar,0,2010-04-01
2010-4,Republic of Korea,55,2010-04-01
2010-4,Singapore,312,2010-04-01
2010-4,Sri Lanka,0,2010-04-01
2010-4,Syrian Arab Republic,0,2010-04-01
2010-4,Thailand,8,2010-04-01
2010-4,Turkey,0,2010-04-01
2010-4,Viet Nam,1,2010-04-01
2010-5,Afghanistan,0,2010-05-01
2010-5,Armenia,0,2010-05-01
2010-5,Azerbaijan,0,2010-05-01
2010-5,Bahrain,0,2010-05-01
2010-5,Bangladesh,37,2010-05-01
2010-5,Bhutan,0,2010-05-01
2010-5,Cambodia,0,2010-05-01
2010-5,China,168,2010-05-01
2010-5,Georgia,0,2010-05-01
2010-5,India,124,2010-05-01
2010-5,Indonesia,7,2010-05-01
2010-5,Iran (Islamic Republic of),0,2010-05-01
2010-5,Iraq,0,2010-05-01
2010-5,Israel,0,2010-05-01
2010-5,Japan,64,2010-05-01
2010-5,Jordan,0,2010-05-01
2010-5,Kazakhstan,0,2010-05-01
2010-5,Kyrgyzstan,0,2010-05-01
2010-5,Lao People's Democratic Republic,0,2010-05-01
2010-5,Malaysia,8,2010-05-01
2010-5,Mongolia,0,2010-05-01
2010-5,Nepal,0,2010-05-01
2010-5,Oman,0,2010-05-01
2010-5,Pakistan,0,2010-05-01
2010-5,Philippines,26,2010-05-01
2010-5,Qatar,0,2010-05-01
2010-5,Republic of Korea,26,2010-05-01
2010-5,Singapore,606,2010-05-01
2010-5,Sri Lanka,0,2010-05-01
2010-5,Syrian Arab Republic,0,2010-05-01
2010-5,Thailand,12,2010-05-01
