Y_M,Country,Cases,YMD
2009-12,Portugal,596,2009-12-01
2009-12,Republic of Korea,972,2009-12-01
2009-12,Republic of Moldova,220,2009-12-01
2009-12,Romania,2123,2009-12-01
2009-12,Russian Federation,1305,2009-12-01
2009-12,Rwanda,0,2009-12-01
2009-12,Senegal,0,2009-12-01
2009-12,Serbia,280,2009-12-01
2009-12,Sierra Leone,0,2009-12-01
2009-12,Singapore,0,2009-12-01
2009-12,Slovakia,233,2009-12-01
2009-12,Slovenia,267,2009-12-01
2009-12,South Africa,0,2009-12-01
2009-12,Spain,1024,2009-12-01
2009-12,Sri Lanka,243,2009-12-01
2009-12,Sudan,8,2009-12-01
2009-12,Suriname,0,2009-12-01
2009-12,Sweden,701,2009-12-01
2009-12,Switzerland,289,2009-12-01
2009-12,Thailand,39,2009-12-01
2009-12,The former Yugoslav Republic of Macedonia,0,2009-12-01
2009-12,Togo,0,2009-12-01
2009-12,Tunisia,661,2009-12-01
2009-12,Turkey,2005,2009-12-01
2009-12,Uganda,0,2009-12-01
2009-12,Ukraine,292,2009-12-01
2009-12,United Kingdom of Great Britain and Northern Ireland,183,2009-12-01
2009-12,United Republic of Tanzania,135,2009-12-01
2009-12,United States of America,2623,2009-12-01
2009-12,Uruguay,0,2009-12-01
2009-12,Viet Nam,32,2009-12-01
2009-12,Zambia,0,2009-12-01
2009-2,Afghanistan,0,2009-02-01
2009-2,Albania,0,2009-02-01
2009-2,Algeria,0,2009-02-01
2009-2,Angola,0,2009-02-01
2009-2,Argentina,0,2009-02-01
2009-2,Armenia,0,2009-02-01
2009-2,Australia,0,2009-02-01
2009-2,Austria,0,2009-02-01
2009-2,Azerbaijan,0,2009-02-01
2009-2,Bangladesh,0,2009-02-01
2009-2,Belarus,0,2009-02-01
2009-2,Belgium,0,2009-02-01
2009-2,Bolivia,0,2009-02-01
2009-2,Bosnia and Herzegovina,0,2009-02-01
2009-2,Brazil,0,2009-02-01
2009-2,Bulgaria,0,2009-02-01
2009-2,Burkina Faso,0,2009-02-01
2009-2,C�te d'Ivoire,0,2009-02-01
2009-2,Cambodia,0,2009-02-01
2009-2,Cameroon,0,2009-02-01
2009-2,Canada,0,2009-02-01
2009-2,Cape Verde,0,2009-02-01
2009-2,Central African Republic,0,2009-02-01
2009-2,Chile,0,2009-02-01
2009-2,China,0,2009-02-01
2009-2,Colombia,0,2009-02-01
2009-2,Costa Rica,0,2009-02-01
2009-2,Croatia,0,2009-02-01
2009-2,Cuba,0,2009-02-01
2009-2,Czech Republic,0,2009-02-01
2009-2,Democratic Republic of the Congo,0,2009-02-01
2009-2,Denmark,0,2009-02-01
2009-2,Dominican Republic,0,2009-02-01
2009-2,Ecuador,0,2009-02-01
2009-2,Egypt,0,2009-02-01
2009-2,El Salvador,0,2009-02-01
2009-2,Estonia,0,2009-02-01
2009-2,Ethiopia,0,2009-02-01
2009-2,Fiji,0,2009-02-01
2009-2,Finland,0,2009-02-01
2009-2,France,0,2009-02-01
2009-2,French Guiana,0,2009-02-01
2009-2,Gambia,0,2009-02-01
2009-2,Georgia,0,2009-02-01
2009-2,Germany,0,2009-02-01
2009-2,Ghana,0,2009-02-01
2009-2,Greece,0,2009-02-01
2009-2,Guadeloupe,0,2009-02-01
2009-2,Guatemala,0,2009-02-01
2009-2,Guinea,0,2009-02-01
2009-2,Guinea-Bissau,0,2009-02-01
2009-2,Honduras,0,2009-02-01
2009-2,Hungary,0,2009-02-01
2009-2,Iceland,0,2009-02-01
2009-2,India,0,2009-02-01
2009-2,Indonesia,0,2009-02-01
